weights_rom_3x3 -- 12-bit Q2.9 BN-folded conv1 weights
 idx    f   c   r  col   hex   float_orig  float_quant       err
 461   17   0   0    2   009     0.017891     0.017578  0.000313
 462   17   0   1    0   00D     0.024963     0.025391  0.000428
 463   17   0   1    1   000     0.000262     0.000000  0.000262
 464   17   0   1    2   FFD    -0.006240    -0.005859  0.000381
 465   17   0   2    0   006     0.011706     0.011719  0.000013
 466   17   0   2    1   FFC    -0.007221    -0.007812  0.000592
 467   17   0   2    2   000     0.000903     0.000000  0.000903
 468   17   1   0    0   029     0.079716     0.080078  0.000362
 469   17   1   0    1   016     0.042522     0.042969  0.000446
 470   17   1   0    2   00A     0.019297     0.019531  0.000234
 471   17   1   1    0   016     0.043819     0.042969  0.000850
 472   17   1   1    1   003     0.005644     0.005859  0.000215
 473   17   1   1    2   FFB    -0.010419    -0.009766  0.000653
 474   17   1   2    0   00B     0.022404     0.021484  0.000919
 475   17   1   2    1   FFE    -0.004493    -0.003906  0.000587
 476   17   1   2    2   006     0.011219     0.011719  0.000500
 477   17   2   0    0   01C     0.053901     0.054688  0.000786
 478   17   2   0    1   00B     0.021204     0.021484  0.000280
 479   17   2   0    2   FFF    -0.000997    -0.001953  0.000956
 480   17   2   1    0   00B     0.020825     0.021484  0.000659
 481   17   2   1    1   FFD    -0.005983    -0.005859  0.000123
 482   17   2   1    2   FF9    -0.014480    -0.013672  0.000808
 483   17   2   2    0   002     0.002944     0.003906  0.000962
 484   17   2   2    1   FFA    -0.011541    -0.011719  0.000178
 485   17   2   2    2   004     0.007750     0.007812  0.000063
 486   18   0   0    0   035     0.104301     0.103516  0.000786
 487   18   0   0    1   042     0.129869     0.128906  0.000963
 488   18   0   0    2   037     0.106782     0.107422  0.000640
 489   18   0   1    0   042     0.128329     0.128906  0.000578
 490   18   0   1    1   053     0.161565     0.162109  0.000545
 491   18   0   1    2   049     0.142018     0.142578  0.000560
 492   18   0   2    0   035     0.104213     0.103516  0.000697
 493   18   0   2    1   04A     0.144642     0.144531  0.000111
 494   18   0   2    2   048     0.140628     0.140625  0.000003
 495   18   1   0    0   FD0    -0.093102    -0.093750  0.000648
 496   18   1   0    1   FCB    -0.103606    -0.103516  0.000091
 497   18   1   0    2   FCE    -0.098263    -0.097656  0.000607
 498   18   1   1    0   FCA    -0.105416    -0.105469  0.000052
 499   18   1   1    1   FC3    -0.118919    -0.119141  0.000222
 500   18   1   1    2   FC7    -0.112204    -0.111328  0.000876
 501   18   1   2    0   FC9    -0.106667    -0.107422  0.000755
 502   18   1   2    1   FC5    -0.115770    -0.115234  0.000536
 503   18   1   2    2   FC1    -0.122239    -0.123047  0.000808
 504   18   2   0    0   FFD    -0.006689    -0.005859  0.000829
 505   18   2   0    1   FF6    -0.019191    -0.019531  0.000340
 506   18   2   0    2   FFE    -0.003768    -0.003906  0.000139
 507   18   2   1    0   FF5    -0.021717    -0.021484  0.000232
 508   18   2   1    1   FE8    -0.047089    -0.046875  0.000214
 509   18   2   1    2   FF2    -0.027481    -0.027344  0.000138
 510   18   2   2    0   000     0.000589     0.000000  0.000589
 511   18   2   2    1   FEE    -0.035194    -0.035156  0.000037
 512   18   2   2    2   FF4    -0.023630    -0.023438  0.000193
 513   19   0   0    0   FFB    -0.010462    -0.009766  0.000696
 514   19   0   0    1   FF2    -0.028090    -0.027344  0.000746
 515   19   0   0    2   FF7    -0.017305    -0.017578  0.000273
 516   19   0   1    0   FF4    -0.022691    -0.023438  0.000747
 517   19   0   1    1   FEA    -0.042710    -0.042969  0.000259
 518   19   0   1    2   FF1    -0.028485    -0.029297  0.000812
 519   19   0   2    0   FF5    -0.021681    -0.021484  0.000197
 520   19   0   2    1   FEA    -0.042037    -0.042969  0.000932
 521   19   0   2    2   FF0    -0.031596    -0.031250  0.000346
 522   19   1   0    0   FF0    -0.031601    -0.031250  0.000351
 523   19   1   0    1   FE7    -0.049409    -0.048828  0.000581
 524   19   1   0    2   FF3    -0.025353    -0.025391  0.000038
 525   19   1   1    0   FE6    -0.050426    -0.050781  0.000355
 526   19   1   1    1   FDA    -0.074798    -0.074219  0.000579
 527   19   1   1    2   FE6    -0.051126    -0.050781  0.000345
 528   19   1   2    0   FEE    -0.034818    -0.035156  0.000339
 529   19   1   2    1   FDE    -0.065784    -0.066406  0.000622
 530   19   1   2    2   FE6    -0.051154    -0.050781  0.000372
 531   19   2   0    0   FFA    -0.011466    -0.011719  0.000253
 532   19   2   0    1   FF5    -0.021513    -0.021484  0.000029
 533   19   2   0    2   000    -0.000456     0.000000  0.000456
 534   19   2   1    0   FF4    -0.023665    -0.023438  0.000227
 535   19   2   1    1   FEB    -0.041535    -0.041016  0.000520
 536   19   2   1    2   FF5    -0.022346    -0.021484  0.000861
 537   19   2   2    0   FFF    -0.002292    -0.001953  0.000339
 538   19   2   2    1   FF5    -0.021921    -0.021484  0.000437
 539   19   2   2    2   FF8    -0.015718    -0.015625  0.000093
 540   20   0   0    0   032     0.097967     0.097656  0.000310
 541   20   0   0    1   F41    -0.372140    -0.373047  0.000907
 542   20   0   0    2   089     0.268009     0.267578  0.000431
 543   20   0   1    0   092     0.284993     0.285156  0.000163
 544   20   0   1    1   EC7    -0.610913    -0.611328  0.000415
 545   20   0   1    2   0AA     0.331993     0.332031  0.000038
 546   20   0   2    0   084     0.257985     0.257812  0.000172
 547   20   0   2    1   F3A    -0.385755    -0.386719  0.000964
 548   20   0   2    2   03D     0.119697     0.119141  0.000556
 549   20   1   0    0   04D     0.150497     0.150391  0.000106
 550   20   1   0    1   ED5    -0.584932    -0.583984  0.000947
 551   20   1   0    2   0E2     0.441156     0.441406  0.000251
 552   20   1   1    0   0D5     0.416116     0.416016  0.000100
 553   20   1   1    1   E27    -0.924704    -0.923828  0.000876
 554   20   1   1    2   0DA     0.426263     0.425781  0.000482
 555   20   1   2    0   0EB     0.458525     0.458984  0.000459
 556   20   1   2    1   EE8    -0.545940    -0.546875  0.000935
 557   20   1   2    2   02E     0.089421     0.089844  0.000423
 558   20   2   0    0   026     0.074027     0.074219  0.000192
 559   20   2   0    1   FAA    -0.168805    -0.167969  0.000836
 560   20   2   0    2   02F     0.091027     0.091797  0.000770
 561   20   2   1    0   058     0.171438     0.171875  0.000437
 562   20   2   1    1   F66    -0.300176    -0.300781  0.000605
 563   20   2   1    2   046     0.137343     0.136719  0.000625
 564   20   2   2    0   038     0.109055     0.109375  0.000320
 565   20   2   2    1   FB6    -0.144528    -0.144531  0.000003
 566   20   2   2    2   010     0.030859     0.031250  0.000391
 567   21   0   0    0   FF1    -0.028578    -0.029297  0.000719
 568   21   0   0    1   001     0.001989     0.001953  0.000035
 569   21   0   0    2   FF2    -0.028219    -0.027344  0.000875
 570   21   0   1    0   FFB    -0.009373    -0.009766  0.000393
 571   21   0   1    1   013     0.036391     0.037109  0.000718
 572   21   0   1    2   000    -0.000213     0.000000  0.000213
 573   21   0   2    0   FEE    -0.036055    -0.035156  0.000898
 574   21   0   2    1   005     0.009625     0.009766  0.000141
 575   21   0   2    2   FF8    -0.015041    -0.015625  0.000584
 576   21   1   0    0   03C     0.116771     0.117188  0.000416
 577   21   1   0    1   040     0.124476     0.125000  0.000524
 578   21   1   0    2   040     0.125974     0.125000  0.000974
 579   21   1   1    0   03B     0.115836     0.115234  0.000602
 580   21   1   1    1   042     0.129553     0.128906  0.000647
 581   21   1   1    2   043     0.131806     0.130859  0.000947
 582   21   1   2    0   039     0.112234     0.111328  0.000905
 583   21   1   2    1   03C     0.117908     0.117188  0.000721
 584   21   1   2    2   040     0.125276     0.125000  0.000276
 585   21   2   0    0   FD2    -0.089299    -0.089844  0.000545
 586   21   2   0    1   FBF    -0.127556    -0.126953  0.000603
 587   21   2   0    2   FCC    -0.101161    -0.101562  0.000401
 588   21   2   1    0   FC7    -0.110945    -0.111328  0.000383
 589   21   2   1    1   FAC    -0.163388    -0.164062  0.000675
 590   21   2   1    2   FBA    -0.135987    -0.136719  0.000731
 591   21   2   2    0   FD2    -0.089515    -0.089844  0.000329
 592   21   2   2    1   FBA    -0.137138    -0.136719  0.000419
 593   21   2   2    2   FC1    -0.123486    -0.123047  0.000439
 594   22   0   0    0   FF4    -0.022568    -0.023438  0.000869
 595   22   0   0    1   FFE    -0.004880    -0.003906  0.000974
 596   22   0   0    2   010     0.031684     0.031250  0.000434
 597   22   0   1    0   FFA    -0.012146    -0.011719  0.000427
 598   22   0   1    1   05D     0.182138     0.181641  0.000497
 599   22   0   1    2   015     0.040506     0.041016  0.000509
 600   22   0   2    0   008     0.015608     0.015625  0.000017
 601   22   0   2    1   017     0.045541     0.044922  0.000620
 602   22   0   2    2   019     0.048149     0.048828  0.000679
 603   22   1   0    0   FDF    -0.064468    -0.064453  0.000015
 604   22   1   0    1   003     0.005363     0.005859  0.000496
 605   22   1   0    2   FE6    -0.051033    -0.050781  0.000252
 606   22   1   1    0   016     0.042737     0.042969  0.000232
 607   22   1   1    1   0C1     0.376576     0.376953  0.000377
 608   22   1   1    2   033     0.099465     0.099609  0.000144
 609   22   1   2    0   FF9    -0.014388    -0.013672  0.000716
 610   22   1   2    1   027     0.075705     0.076172  0.000467
 611   22   1   2    2   00E     0.026852     0.027344  0.000491
 612   22   2   0    0   021     0.064691     0.064453  0.000238
 613   22   2   0    1   019     0.048173     0.048828  0.000656
 614   22   2   0    2   FF8    -0.014968    -0.015625  0.000657
 615   22   2   1    0   003     0.005508     0.005859  0.000352
 616   22   2   1    1   07A     0.237986     0.238281  0.000295
 617   22   2   1    2   FE8    -0.046558    -0.046875  0.000317
 618   22   2   2    0   FEF    -0.032750    -0.033203  0.000453
 619   22   2   2    1   FD8    -0.078477    -0.078125  0.000352
 620   22   2   2    2   FCF    -0.095209    -0.095703  0.000495
 621   23   0   0    0   03E     0.120183     0.121094  0.000911
 622   23   0   0    1   06D     0.213533     0.212891  0.000642
 623   23   0   0    2   F9F    -0.188525    -0.189453  0.000928
 624   23   0   1    0   086     0.262264     0.261719  0.000545
 625   23   0   1    1   01B     0.051936     0.052734  0.000798
 626   23   0   1    2   F66    -0.300034    -0.300781  0.000747
 627   23   0   2    0   05F     0.184907     0.185547  0.000640
 628   23   0   2    1   FAC    -0.164003    -0.164062  0.000059
 629   23   0   2    2   F9F    -0.190175    -0.189453  0.000722
 630   23   1   0    0   07B     0.240484     0.240234  0.000250
 631   23   1   0    1   091     0.282936     0.283203  0.000267
 632   23   1   0    2   F78    -0.266035    -0.265625  0.000410
 633   23   1   1    0   0D5     0.416220     0.416016  0.000204
 634   23   1   1    1   025     0.072809     0.072266  0.000543
 635   23   1   1    2   F11    -0.466699    -0.466797  0.000098
 636   23   1   2    0   083     0.256474     0.255859  0.000615
 637   23   1   2    1   F97    -0.205593    -0.205078  0.000515
 638   23   1   2    2   F5C    -0.321083    -0.320312  0.000770
 639   23   2   0    0   00C     0.023571     0.023438  0.000134
 640   23   2   0    1   03F     0.122287     0.123047  0.000760
 641   23   2   0    2   FCF    -0.095752    -0.095703  0.000049
 642   23   2   1    0   045     0.134088     0.134766  0.000677
 643   23   2   1    1   017     0.045246     0.044922  0.000324
 644   23   2   1    2   FAC    -0.163732    -0.164062  0.000330
 645   23   2   2    0   027     0.075297     0.076172  0.000875
 646   23   2   2    1   FD6    -0.082947    -0.082031  0.000916
 647   23   2   2    2   FDF    -0.064176    -0.064453  0.000278

BIASES
  f   hex   float_orig  float_quant
-----------------------------------
  0   1A3     0.817667     0.818359
  1   07D     0.243395     0.244141
  2   1BA     0.862959     0.863281
  3   099     0.297867     0.298828
  4   056     0.168346     0.167969
  5   30D     1.525459     1.525391
  6   CFF    -1.501325    -1.501953
  7   32B     1.584627     1.583984
  8   12A     0.581288     0.582031
  9   0C1     0.377320     0.376953
 10   04C     0.149135     0.148438
 11   0F2     0.472261     0.472656
 12   0A2     0.315658     0.316406
 13   0F8     0.483765     0.484375
 14   F5F    -0.313949    -0.314453
 15   046     0.136727     0.136719
 16   13F     0.622187     0.623047
 17   1D9     0.923448     0.923828
 18   27E     1.245911     1.246094
 19   4B3     2.348732     2.349609
 20   0E7     0.451052     0.451172
 21   1CE     0.902663     0.902344
 22   D43    -1.368884    -1.369141
 23   0B5     0.352858     0.353516
