weights_rom_3x3 -- 12-bit Q2.9 BN-folded conv1 weights
 idx    f   c   r  col   hex   float_orig  float_quant       err
 105    3   2   2    0   FF0    -0.031752    -0.031250  0.000502
 106    3   2   2    1   062     0.190860     0.191406  0.000546
 107    3   2   2    2   016     0.042842     0.042969  0.000127
 108    4   0   0    0   F84    -0.242767    -0.242188  0.000579
 109    4   0   0    1   F55    -0.333253    -0.333984  0.000731
 110    4   0   0    2   FCB    -0.104332    -0.103516  0.000817
 111    4   0   1    0   07A     0.237922     0.238281  0.000360
 112    4   0   1    1   131     0.596524     0.595703  0.000821
 113    4   0   1    2   0A8     0.327267     0.328125  0.000858
 114    4   0   2    0   FFC    -0.007805    -0.007812  0.000008
 115    4   0   2    1   F79    -0.264401    -0.263672  0.000729
 116    4   0   2    2   F9E    -0.191065    -0.191406  0.000342
 117    4   1   0    0   F36    -0.393660    -0.394531  0.000872
 118    4   1   0    1   F1F    -0.438483    -0.439453  0.000970
 119    4   1   0    2   FD0    -0.093621    -0.093750  0.000129
 120    4   1   1    0   0EA     0.457940     0.457031  0.000908
 121    4   1   1    1   1F2     0.972043     0.972656  0.000613
 122    4   1   1    2   102     0.503818     0.503906  0.000089
 123    4   1   2    0   FD6    -0.081834    -0.082031  0.000197
 124    4   1   2    1   F16    -0.456982    -0.457031  0.000050
 125    4   1   2    2   F19    -0.451323    -0.451172  0.000151
 126    4   2   0    0   FC8    -0.109793    -0.109375  0.000418
 127    4   2   0    1   F9B    -0.196757    -0.197266  0.000509
 128    4   2   0    2   FF6    -0.019260    -0.019531  0.000271
 129    4   2   1    0   043     0.131748     0.130859  0.000889
 130    4   2   1    1   0D3     0.412790     0.412109  0.000681
 131    4   2   1    2   044     0.132072     0.132812  0.000741
 132    4   2   2    0   FF9    -0.014536    -0.013672  0.000864
 133    4   2   2    1   F9A    -0.199965    -0.199219  0.000747
 134    4   2   2    2   FC1    -0.122392    -0.123047  0.000655
 135    5   0   0    0   FD2    -0.090396    -0.089844  0.000553
 136    5   0   0    1   FD6    -0.082821    -0.082031  0.000790
 137    5   0   0    2   FE4    -0.054705    -0.054688  0.000018
 138    5   0   1    0   FD3    -0.086955    -0.087891  0.000936
 139    5   0   1    1   FD4    -0.086142    -0.085938  0.000204
 140    5   0   1    2   FD8    -0.077996    -0.078125  0.000129
 141    5   0   2    0   FDB    -0.072481    -0.072266  0.000216
 142    5   0   2    1   FD2    -0.089992    -0.089844  0.000149
 143    5   0   2    2   FCD    -0.100396    -0.099609  0.000787
 144    5   1   0    0   019     0.049194     0.048828  0.000365
 145    5   1   0    1   01B     0.052343     0.052734  0.000391
 146    5   1   0    2   016     0.043089     0.042969  0.000120
 147    5   1   1    0   01C     0.054023     0.054688  0.000665
 148    5   1   1    1   01E     0.057646     0.058594  0.000947
 149    5   1   1    2   01B     0.052608     0.052734  0.000127
 150    5   1   2    0   014     0.038468     0.039062  0.000595
 151    5   1   2    1   019     0.049481     0.048828  0.000653
 152    5   1   2    2   013     0.036574     0.037109  0.000535
 153    5   2   0    0   018     0.046480     0.046875  0.000395
 154    5   2   0    1   013     0.037170     0.037109  0.000060
 155    5   2   0    2   004     0.007645     0.007812  0.000168
 156    5   2   1    0   013     0.036728     0.037109  0.000381
 157    5   2   1    1   015     0.041113     0.041016  0.000098
 158    5   2   1    2   00E     0.027174     0.027344  0.000169
 159    5   2   2    0   00A     0.018765     0.019531  0.000766
 160    5   2   2    1   016     0.043945     0.042969  0.000977
 161    5   2   2    2   016     0.043469     0.042969  0.000500
 162    6   0   0    0   01B     0.052079     0.052734  0.000656
 163    6   0   0    1   006     0.010850     0.011719  0.000869
 164    6   0   0    2   00F     0.029429     0.029297  0.000132
 165    6   0   1    0   FCA    -0.105560    -0.105469  0.000091
 166    6   0   1    1   FDD    -0.068679    -0.068359  0.000320
 167    6   0   1    2   009     0.016921     0.017578  0.000657
 168    6   0   2    0   FAB    -0.165640    -0.166016  0.000376
 169    6   0   2    1   FCA    -0.105007    -0.105469  0.000462
 170    6   0   2    2   005     0.009710     0.009766  0.000055
 171    6   1   0    0   FF1    -0.028653    -0.029297  0.000644
 172    6   1   0    1   FFA    -0.012435    -0.011719  0.000716
 173    6   1   0    2   FF8    -0.015723    -0.015625  0.000098
 174    6   1   1    0   FAF    -0.157498    -0.158203  0.000705
 175    6   1   1    1   FDB    -0.072304    -0.072266  0.000039
 176    6   1   1    2   FFD    -0.006458    -0.005859  0.000598
 177    6   1   2    0   F8C    -0.225696    -0.226562  0.000867
 178    6   1   2    1   FC3    -0.120080    -0.119141  0.000940
 179    6   1   2    2   FF2    -0.027045    -0.027344  0.000299
 180    6   2   0    0   013     0.038042     0.037109  0.000933
 181    6   2   0    1   011     0.032744     0.033203  0.000459
 182    6   2   0    2   001     0.001538     0.001953  0.000415
 183    6   2   1    0   FE7    -0.049303    -0.048828  0.000475
 184    6   2   1    1   FFB    -0.010071    -0.009766  0.000305
 185    6   2   1    2   000     0.000486     0.000000  0.000486
 186    6   2   2    0   FCF    -0.096323    -0.095703  0.000620
 187    6   2   2    1   FEB    -0.041908    -0.041016  0.000892
 188    6   2   2    2   002     0.003031     0.003906  0.000875
 189    7   0   0    0   FF2    -0.027250    -0.027344  0.000094
 190    7   0   0    1   00E     0.027830     0.027344  0.000486
 191    7   0   0    2   FF3    -0.026314    -0.025391  0.000923
 192    7   0   1    0   00F     0.028566     0.029297  0.000730
 193    7   0   1    1   045     0.135600     0.134766  0.000835
 194    7   0   1    2   010     0.031973     0.031250  0.000723
 195    7   0   2    0   FFE    -0.003898    -0.003906  0.000008
 196    7   0   2    1   01E     0.058902     0.058594  0.000308
 197    7   0   2    2   FFF    -0.002248    -0.001953  0.000295
 198    7   1   0    0   FF5    -0.021961    -0.021484  0.000476
 199    7   1   0    1   015     0.040233     0.041016  0.000782
 200    7   1   0    2   FFD    -0.005579    -0.005859  0.000280
 201    7   1   1    0   010     0.031683     0.031250  0.000433
 202    7   1   1    1   04E     0.151719     0.152344  0.000625
 203    7   1   1    2   01B     0.051831     0.052734  0.000903
 204    7   1   2    0   007     0.012761     0.013672  0.000911
 205    7   1   2    1   027     0.076684     0.076172  0.000512
 206    7   1   2    2   00B     0.022101     0.021484  0.000616
 207    7   2   0    0   FED    -0.037461    -0.037109  0.000351
 208    7   2   0    1   007     0.013933     0.013672  0.000261
 209    7   2   0    2   FF4    -0.023634    -0.023438  0.000196
 210    7   2   1    0   007     0.014092     0.013672  0.000420
 211    7   2   1    1   03F     0.123802     0.123047  0.000755
 212    7   2   1    2   011     0.032737     0.033203  0.000466
 213    7   2   2    0   FF9    -0.013594    -0.013672  0.000078
 214    7   2   2    1   017     0.045143     0.044922  0.000221
 215    7   2   2    2   FFD    -0.005832    -0.005859  0.000027
 216    8   0   0    0   FFD    -0.005639    -0.005859  0.000221
 217    8   0   0    1   01F     0.060102     0.060547  0.000445
 218    8   0   0    2   013     0.036196     0.037109  0.000914
 219    8   0   1    0   01B     0.053098     0.052734  0.000364
 220    8   0   1    1   040     0.124335     0.125000  0.000665
 221    8   0   1    2   027     0.075533     0.076172  0.000639
 222    8   0   2    0   00B     0.021129     0.021484  0.000355
 223    8   0   2    1   028     0.077819     0.078125  0.000306
 224    8   0   2    2   014     0.038809     0.039062  0.000253
 225    8   1   0    0   FB5    -0.146177    -0.146484  0.000308
 226    8   1   0    1   F9D    -0.194073    -0.193359  0.000713
 227    8   1   0    2   FAF    -0.158445    -0.158203  0.000242
 228    8   1   1    0   FAB    -0.166656    -0.166016  0.000641
 229    8   1   1    1   F83    -0.243747    -0.244141  0.000393
 230    8   1   1    2   F96    -0.207911    -0.207031  0.000880
 231    8   1   2    0   FBB    -0.135597    -0.134766  0.000831
 232    8   1   2    1   F9A    -0.199483    -0.199219  0.000264
 233    8   1   2    2   FA8    -0.172099    -0.171875  0.000224
 234    8   2   0    0   051     0.157769     0.158203  0.000434
 235    8   2   0    1   048     0.140863     0.140625  0.000238
 236    8   2   0    2   045     0.134566     0.134766  0.000199
 237    8   2   1    0   042     0.129814     0.128906  0.000908
 238    8   2   1    1   03F     0.122578     0.123047  0.000469
 239    8   2   1    2   046     0.137496     0.136719  0.000777
 240    8   2   2    0   039     0.111350     0.111328  0.000022
 241    8   2   2    1   03F     0.122669     0.123047  0.000378
 242    8   2   2    2   048     0.140058     0.140625  0.000567
 243    9   0   0    0   FC7    -0.110744    -0.111328  0.000584
 244    9   0   0    1   FC4    -0.117067    -0.117188  0.000121
 245    9   0   0    2   FD4    -0.086834    -0.085938  0.000897
 246    9   0   1    0   FC7    -0.111799    -0.111328  0.000471
 247    9   0   1    1   FC0    -0.125107    -0.125000  0.000107
 248    9   0   1    2   FCA    -0.105535    -0.105469  0.000066
 249    9   0   2    0   FE8    -0.046559    -0.046875  0.000316
 250    9   0   2    1   FDD    -0.068085    -0.068359  0.000275
 251    9   0   2    2   FE8    -0.046595    -0.046875  0.000280
 252    9   1   0    0   041     0.126983     0.126953  0.000029
 253    9   1   0    1   05A     0.175229     0.175781  0.000553
 254    9   1   0    2   044     0.133612     0.132812  0.000800
 255    9   1   1    0   045     0.135225     0.134766  0.000459
 256    9   1   1    1   061     0.189305     0.189453  0.000148
 257    9   1   1    2   04C     0.149353     0.148438  0.000915
 258    9   1   2    0   02C     0.085462     0.085938  0.000475
 259    9   1   2    1   03F     0.122806     0.123047  0.000241
 260    9   1   2    2   02D     0.087553     0.087891  0.000337
 261    9   2   0    0   FFD    -0.006421    -0.005859  0.000561
 262    9   2   0    1   FDD    -0.067423    -0.068359  0.000936
 263    9   2   0    2   FED    -0.037184    -0.037109  0.000075
 264    9   2   1    0   FEF    -0.033679    -0.033203  0.000476
 265    9   2   1    1   FD4    -0.085817    -0.085938  0.000121
 266    9   2   1    2   FE6    -0.050870    -0.050781  0.000088
 267    9   2   2    0   FEF    -0.033443    -0.033203  0.000240
 268    9   2   2    1   FDF    -0.064693    -0.064453  0.000240
 269    9   2   2    2   FF0    -0.032076    -0.031250  0.000826
 270   10   0   0    0   157     0.669008     0.669922  0.000914
 271   10   0   0    1   115     0.541680     0.541016  0.000664
 272   10   0   0    2   F9D    -0.193673    -0.193359  0.000313
 273   10   0   1    0   0FC     0.492400     0.492188  0.000212
 274   10   0   1    1   F08    -0.484448    -0.484375  0.000073
 275   10   0   1    2   ECA    -0.604937    -0.605469  0.000532
 276   10   0   2    0   F9F    -0.189272    -0.189453  0.000181
 277   10   0   2    1   EE7    -0.548626    -0.548828  0.000202
 278   10   0   2    2   09D     0.307065     0.306641  0.000424
 279   10   1   0    0   FEF    -0.033666    -0.033203  0.000463
 280   10   1   0    1   00E     0.028234     0.027344  0.000890
 281   10   1   0    2   FF3    -0.026304    -0.025391  0.000913
 282   10   1   1    0   FCA    -0.105975    -0.105469  0.000506
 283   10   1   1    1   FD9    -0.076821    -0.076172  0.000650
 284   10   1   1    2   00D     0.026357     0.025391  0.000966
 285   10   1   2    0   FD9    -0.076126    -0.076172  0.000046
 286   10   1   2    1   017     0.044528     0.044922  0.000394
 287   10   1   2    2   065     0.196950     0.197266  0.000316
 288   10   2   0    0   EBD    -0.630701    -0.630859  0.000158
 289   10   2   0    1   EE1    -0.559858    -0.560547  0.000689
 290   10   2   0    2   06E     0.215301     0.214844  0.000457
 291   10   2   1    0   F47    -0.361398    -0.361328  0.000070
 292   10   2   1    1   116     0.543618     0.542969  0.000649
 293   10   2   1    2   126     0.574392     0.574219  0.000173
 294   10   2   2    0   07A     0.237476     0.238281  0.000805
 295   10   2   2    1   108     0.515979     0.515625  0.000354
 296   10   2   2    2   EF9    -0.513724    -0.513672  0.000052
 297   11   0   0    0   FA9    -0.170623    -0.169922  0.000701
 298   11   0   0    1   067     0.200414     0.201172  0.000758
 299   11   0   0    2   045     0.134250     0.134766  0.000516
 300   11   0   1    0   F6A    -0.293152    -0.292969  0.000183
 301   11   0   1    1   004     0.007881     0.007812  0.000068
 302   11   0   1    2   096     0.292443     0.292969  0.000526
 303   11   0   2    0   FA9    -0.169886    -0.169922  0.000035
 304   11   0   2    1   F90    -0.218718    -0.218750  0.000032
 305   11   0   2    2   064     0.195586     0.195312  0.000273
 306   11   1   0    0   F82    -0.246491    -0.246094  0.000397
 307   11   1   0    1   083     0.255604     0.255859  0.000256
 308   11   1   0    2   083     0.256071     0.255859  0.000212
 309   11   1   1    0   F1B    -0.446978    -0.447266  0.000288
 310   11   1   1    1   001     0.001164     0.001953  0.000789
 311   11   1   1    2   0DD     0.431555     0.431641  0.000086
 312   11   1   2    0   F75    -0.272072    -0.271484  0.000588
 313   11   1   2    1   F77    -0.267495    -0.267578  0.000083
 314   11   1   2    2   088     0.266038     0.265625  0.000413
 315   11   2   0    0   FD4    -0.086039    -0.085938  0.000102
 316   11   2   0    1   03A     0.114006     0.113281  0.000725
 317   11   2   0    2   00A     0.019337     0.019531  0.000194
 318   11   2   1    0   FB5    -0.147054    -0.146484  0.000569
 319   11   2   1    1   00C     0.023378     0.023438  0.000059
 320   11   2   1    2   04A     0.144989     0.144531  0.000458
 321   11   2   2    0   FE8    -0.047084    -0.046875  0.000209
 322   11   2   2    1   FC9    -0.106638    -0.107422  0.000784
 323   11   2   2    2   026     0.075184     0.074219  0.000965
 324   12   0   0    0   FE1    -0.061362    -0.060547  0.000815
 325   12   0   0    1   F5B    -0.321741    -0.322266  0.000525
 326   12   0   0    2   FEC    -0.039124    -0.039062  0.000062
 327   12   0   1    0   F56    -0.331296    -0.332031  0.000735
 328   12   0   1    1   FEE    -0.034914    -0.035156  0.000243
 329   12   0   1    2   09A     0.300249     0.300781  0.000532
 330   12   0   2    0   014     0.039360     0.039062  0.000298
 331   12   0   2    1   0A1     0.314605     0.314453  0.000152
 332   12   0   2    2   041     0.127802     0.126953  0.000849
 333   12   1   0    0   F9E    -0.190996    -0.191406  0.000410
 334   12   1   0    1   F14    -0.461863    -0.460938  0.000925
 335   12   1   0    2   FDB    -0.073198    -0.072266  0.000933
 336   12   1   1    0   F14    -0.461284    -0.460938  0.000346
 337   12   1   1    1   FF8    -0.015757    -0.015625  0.000132
 338   12   1   1    2   0DA     0.425900     0.425781  0.000119
 339   12   1   2    0   026     0.074953     0.074219  0.000734
 340   12   1   2    1   0E8     0.452609     0.453125  0.000516
 341   12   1   2    2   07C     0.242910     0.242188  0.000723
 342   12   2   0    0   007     0.013668     0.013672  0.000004
 343   12   2   0    1   FA5    -0.178683    -0.177734  0.000949
 344   12   2   0    2   FF5    -0.020686    -0.021484  0.000798
 345   12   2   1    0   FA0    -0.187848    -0.187500  0.000348
 346   12   2   1    1   004     0.006932     0.007812  0.000880
 347   12   2   1    2   053     0.161567     0.162109  0.000542
 348   12   2   2    0   012     0.035861     0.035156  0.000705
 349   12   2   2    1   055     0.165335     0.166016  0.000680
 350   12   2   2    2   006     0.010816     0.011719  0.000903
 351   13   0   0    0   05D     0.182176     0.181641  0.000536
 352   13   0   0    1   FDB    -0.073015    -0.072266  0.000749
 353   13   0   0    2   F62    -0.309041    -0.308594  0.000448
 354   13   0   1    0   FC9    -0.107980    -0.107422  0.000558
 355   13   0   1    1   143     0.631238     0.630859  0.000378
 356   13   0   1    2   FCE    -0.097423    -0.097656  0.000233
 357   13   0   2    0   F7B    -0.258934    -0.259766  0.000831
 358   13   0   2    1   FE8    -0.046599    -0.046875  0.000276
 359   13   0   2    2   045     0.135659     0.134766  0.000893
 360   13   1   0    0   086     0.260910     0.261719  0.000808
 361   13   1   0    1   FFC    -0.006848    -0.007812  0.000965
 362   13   1   0    2   ED4    -0.585946    -0.585938  0.000008
 363   13   1   1    0   FBE    -0.128160    -0.128906  0.000746
 364   13   1   1    1   202     1.003628     1.003906  0.000278
 365   13   1   1    2   FF0    -0.032094    -0.031250  0.000844
 366   13   1   2    0   EE3    -0.556603    -0.556641  0.000037
 367   13   1   2    1   FDC    -0.070677    -0.070312  0.000365
 368   13   1   2    2   06C     0.209983     0.210938  0.000955
 369   13   2   0    0   03A     0.113782     0.113281  0.000500
 370   13   2   0    1   FE1    -0.060940    -0.060547  0.000393
 371   13   2   0    2   F9A    -0.198902    -0.199219  0.000317
 372   13   2   1    0   FC6    -0.112591    -0.113281  0.000690
 373   13   2   1    1   0FA     0.487586     0.488281  0.000695
 374   13   2   1    2   FE4    -0.054481    -0.054688  0.000206
 375   13   2   2    0   FAE    -0.160529    -0.160156  0.000373
 376   13   2   2    1   FCD    -0.098761    -0.099609  0.000848
 377   13   2   2    2   03F     0.123597     0.123047  0.000550
 378   14   0   0    0   00D     0.024736     0.025391  0.000654
 379   14   0   0    1   FE1    -0.060444    -0.060547  0.000103
 380   14   0   0    2   FC3    -0.119705    -0.119141  0.000564
 381   14   0   1    0   009     0.017349     0.017578  0.000229
 382   14   0   1    1   001     0.001582     0.001953  0.000371
 383   14   0   1    2   FE9    -0.045658    -0.044922  0.000736
 384   14   0   2    0   003     0.004969     0.005859  0.000891
 385   14   0   2    1   007     0.013432     0.013672  0.000239
 386   14   0   2    2   000    -0.000211     0.000000  0.000211
 387   14   1   0    0   FF8    -0.014846    -0.015625  0.000779
 388   14   1   0    1   FC3    -0.118649    -0.119141  0.000491
 389   14   1   0    2   F9C    -0.195693    -0.195312  0.000380
 390   14   1   1    0   003     0.006273     0.005859  0.000414
 391   14   1   1    1   FF6    -0.019742    -0.019531  0.000211
 392   14   1   1    2   FDA    -0.074552    -0.074219  0.000333
 393   14   1   2    0   FFE    -0.004176    -0.003906  0.000270
 394   14   1   2    1   00A     0.019456     0.019531  0.000075
 395   14   1   2    2   FFD    -0.005699    -0.005859  0.000160
 396   14   2   0    0   004     0.008642     0.007812  0.000829
 397   14   2   0    1   FF2    -0.027391    -0.027344  0.000047
 398   14   2   0    2   FDE    -0.067203    -0.066406  0.000797
 399   14   2   1    0   000     0.000393     0.000000  0.000393
 400   14   2   1    1   FFF    -0.001188    -0.001953  0.000766
 401   14   2   1    2   FF4    -0.023005    -0.023438  0.000432
 402   14   2   2    0   FF8    -0.014741    -0.015625  0.000884
 403   14   2   2    1   FFF    -0.001768    -0.001953  0.000185
 404   14   2   2    2   FED    -0.037530    -0.037109  0.000421
 405   15   0   0    0   F8F    -0.220277    -0.220703  0.000426
 406   15   0   0    1   05E     0.182891     0.183594  0.000703
 407   15   0   0    2   00C     0.023448     0.023438  0.000011
 408   15   0   1    0   F47    -0.362071    -0.361328  0.000743
 409   15   0   1    1   14A     0.644431     0.644531  0.000101
 410   15   0   1    2   F67    -0.298512    -0.298828  0.000316
 411   15   0   2    0   FE5    -0.051779    -0.052734  0.000955
 412   15   0   2    1   0A8     0.327426     0.328125  0.000699
 413   15   0   2    2   F85    -0.240621    -0.240234  0.000387
 414   15   1   0    0   F2B    -0.415596    -0.416016  0.000419
 415   15   1   0    1   0C2     0.379695     0.378906  0.000788
 416   15   1   0    2   007     0.013147     0.013672  0.000525
 417   15   1   1    0   F06    -0.489008    -0.488281  0.000727
 418   15   1   1    1   218     1.046776     1.046875  0.000099
 419   15   1   1    2   F16    -0.456188    -0.457031  0.000844
 420   15   1   2    0   FD6    -0.081861    -0.082031  0.000170
 421   15   1   2    1   10A     0.519012     0.519531  0.000520
 422   15   1   2    2   F05    -0.489537    -0.490234  0.000697
 423   15   2   0    0   FCF    -0.096275    -0.095703  0.000571
 424   15   2   0    1   02B     0.084168     0.083984  0.000184
 425   15   2   0    2   00B     0.022372     0.021484  0.000888
 426   15   2   1    0   F92    -0.215635    -0.214844  0.000791
 427   15   2   1    1   0E5     0.446959     0.447266  0.000307
 428   15   2   1    2   F8D    -0.223841    -0.224609  0.000768
 429   15   2   2    0   FF3    -0.025656    -0.025391  0.000265
 430   15   2   2    1   047     0.139551     0.138672  0.000879
 431   15   2   2    2   FBC    -0.132546    -0.132812  0.000266
 432   16   0   0    0   012     0.035997     0.035156  0.000841
 433   16   0   0    1   095     0.290615     0.291016  0.000401
 434   16   0   0    2   093     0.287763     0.287109  0.000654
 435   16   0   1    0   F5C    -0.319804    -0.320312  0.000509
 436   16   0   1    1   EBF    -0.626437    -0.626953  0.000516
 437   16   0   1    2   F69    -0.294023    -0.294922  0.000899
 438   16   0   2    0   095     0.291604     0.291016  0.000589
 439   16   0   2    1   088     0.266032     0.265625  0.000407
 440   16   0   2    2   010     0.031835     0.031250  0.000585
 441   16   1   0    0   009     0.018073     0.017578  0.000494
 442   16   1   0    1   0B1     0.345719     0.345703  0.000016
 443   16   1   0    2   0F2     0.473368     0.472656  0.000711
 444   16   1   1    0   F1F    -0.439957    -0.439453  0.000504
 445   16   1   1    1   E34    -0.899053    -0.898438  0.000615
 446   16   1   1    2   F0C    -0.475833    -0.476562  0.000730
 447   16   1   2    0   0EE     0.465053     0.464844  0.000209
 448   16   1   2    1   0B9     0.360357     0.361328  0.000971
 449   16   1   2    2   01A     0.051484     0.050781  0.000703
 450   16   2   0    0   00D     0.025968     0.025391  0.000577
 451   16   2   0    1   046     0.137171     0.136719  0.000452
 452   16   2   0    2   031     0.095347     0.095703  0.000356
 453   16   2   1    0   FCA    -0.104573    -0.105469  0.000895
 454   16   2   1    1   F6D    -0.286997    -0.287109  0.000113
 455   16   2   1    2   FC7    -0.111087    -0.111328  0.000241
 456   16   2   2    0   029     0.080436     0.080078  0.000358
 457   16   2   2    1   042     0.128711     0.128906  0.000196
 458   16   2   2    2   008     0.014697     0.015625  0.000928
 459   17   0   0    0   01A     0.050211     0.050781  0.000570
 460   17   0   0    1   00F     0.029127     0.029297  0.000170
